Contact.External_Id__c,Account.External_Id__c,External_id__c,Comments,Description,Origin,Priority,Reason,Status,Subject,SuppliedCompany,SuppliedEmail,SuppliedName,SuppliedPhone,Type,SLAViolation__c,PotentialLiability__c,credit_amt__c
EX-0001017,EX-0001005,EX-0001066,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001065,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001064,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001063,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001062,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,30
EX-0001008,EX-0001005,EX-0001061,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001008,EX-0001005,EX-0001060,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001059,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001058,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001007,EX-0001005,EX-0001057,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001056,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001055,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001054,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001053,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,400
EX-0001017,EX-0001005,EX-0001052,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001051,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001050,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001049,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001048,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,260
EX-0001008,EX-0001005,EX-0001047,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001008,EX-0001005,EX-0001128,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001007,EX-0001005,EX-0001127,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,38.2
