CaseNumber,AccountId,AssetId,Comments,ContactId,Description,EngineeringReqNumber__c,Origin,OwnerId,PotentialLiability__c,Priority,Product__c,Reason,SLAViolation__c,Status,Subject,SuppliedCompany,SuppliedEmail,SuppliedName,SuppliedPhone,Type
00001128,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001127,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001126,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001125,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001124,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001123,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001122,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001121,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001120,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001119,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001118,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001117,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001116,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001115,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001114,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001113,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001112,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001111,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001110,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001109,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001108,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001107,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001106,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001105,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001104,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001103,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001102,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001101,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001100,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001099,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001098,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001097,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001096,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001095,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001094,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001093,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001092,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001091,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001090,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001089,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001088,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001087,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001086,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001085,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001084,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001083,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001082,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001081,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001080,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001079,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001078,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001077,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001076,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001075,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001074,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001073,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001072,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001071,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001070,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001069,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001068,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001067,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001066,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001065,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Poor Documentaion,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001064,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Breakdown,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001063,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001062,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001061,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Breakdown,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001060,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,DriveThru,005Ox00000KYqa9IAD,Yes,High,GC1060,Breakdown,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Water
00001059,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Rock,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Water wiring installation for GC5060,,,,,Water
00001058,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,DriveThru,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001057,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Rock,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Breakdown,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001056,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,DriveThru,005Ox00000KYqa9IAD,Yes,High,GC5060,Installation,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Water
